2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_all_tools:159 | Discovering tools...
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: black
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: black
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: sqlfluff
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: sqlfluff
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: markdownlint
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: markdownlint
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: clippy
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: clippy
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: oxfmt
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: oxfmt
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: prettier
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: prettier
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: actionlint
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: actionlint
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: semgrep
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: semgrep
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: astro-check
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: astro_check
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: gitleaks
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: gitleaks
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: mypy
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: mypy
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: vue-tsc
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: vue_tsc
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: shellcheck
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: shellcheck
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: bandit
2026-02-06 20:52:44 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: bandit
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: pytest
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: pytest
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: shfmt
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: shfmt
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: ruff
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: ruff
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: oxlint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: oxlint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: yamllint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: yamllint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: rustfmt
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: rustfmt
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: tsc
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: tsc
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: hadolint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: hadolint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: taplo
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: taplo
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: pydoclint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: pydoclint
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: cargo_audit
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: cargo_audit
2026-02-06 20:52:45 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:70 | Loaded 25 builtin tool definitions
