tool,issues_count,file,line,code,message
black,3898,reports/2026/02.February/06-02-2026/20.18.16/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.01.27/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/20.50.18/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.09.33/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.02.55/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.17.49/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.47.14/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.23.27/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.20.08/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.25.53/tests.py,0,,Would reformat file
black,3898,src/flowscout/analysis/narrative.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.49.16/tests.py,0,,Would reformat file
black,3898,src/flowscout/core/navigator.py,0,,Would reformat file
black,3898,src/flowscout/reporting/html.py,0,,Would reformat file
black,3898,src/flowscout/discovery/elements.py,0,,Would reformat file
black,3898,tests/test_elements.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.51.36/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.53.39/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/22.10.10/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/22.17.56/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/21.57.50/tests.py,0,,Would reformat file
black,3898,reports/2026/02.February/06-02-2026/22.02.30/tests.py,0,,Would reformat file
black,3898,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,31,E501,Line 31 exceeds line length limit (Line too long (104 > 88))
black,3898,/Users/eiteldagnin/Code/ui-framework/reports/2026/02.February/06-02-2026/12.58.21/tests.py,59,E501,Line 59 exceeds line length limit (Line too long (104 > 88))
