tool,issues_count,file,line,code,message
black,0,,,,
sqlfluff,0,,,,
markdownlint,277,.lintro/run-20260206-205206/report.md,6,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,6,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,6,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,6,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,32,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,35,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,38,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,39,MD058,Tables should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,41,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,41,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,41,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,41,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,43,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,46,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,47,MD058,Tables should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,48,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,66,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,67,MD058,Tables should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,69,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,69,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,69,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,69,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,70,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,70,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,70,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,70,MD060,"Table column style [Table pipe does not align with header for style ""aligned""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,72,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,75,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,78,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,81,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,84,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,87,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,90,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,93,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,96,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,99,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,102,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,105,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,108,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,111,MD022,Headings should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,112,MD058,Tables should be surrounded by blank lines
markdownlint,277,.lintro/run-20260206-205206/report.md,113,MD060,"Table column style [Table pipe is missing space to the right for style ""compact""]"
markdownlint,277,.lintro/run-20260206-205206/report.md,113,MD060,"Table column style [Table pipe is missing space to the left for style ""compact""]"
